word,count,Predicted sentiment,Probability
.,41,Negative,0.51
to,27,Negative,0.51
and,26,Negative,0.51
with,23,Negative,0.51
classroom,21,Negative,0.51
management,21,Positive,0.83
students,19,Negative,0.51
in,18,Negative,0.51
of,17,Negative,0.51
the,16,Negative,0.51
she,15,Negative,0.51
a,13,Negative,0.51
",",12,Negative,0.51
for,8,Negative,0.51
learning,8,Negative,0.51
class,8,Negative,0.61
behaviors,7,Negative,0.51
teacher,7,Negative,0.5
be,7,Negative,0.51
student,7,Negative,0.5
behavior,7,Negative,0.51
instruction,7,Positive,0.75
her,6,Negative,0.51
have,6,Negative,0.51
but,6,Negative,0.51
it,6,Negative,0.51
difficult,6,Negative,0.5
strategies,5,Negative,0.51
this,5,Negative,0.51
challenging,5,Negative,0.51
had,5,Negative,0.51
teaching,5,Negative,0.51
support,4,Positive,0.56
was,4,Negative,0.51
working,4,Positive,0.62
who,4,Negative,0.51
relationships,4,Negative,0.51
all,4,Negative,0.51
how,4,Negative,0.51
dealing,4,Negative,0.51
needs,4,Negative,0.75
has,4,Negative,0.51
differentiating,4,Negative,0.51
is,4,Negative,0.51
that,4,Negative,0.51
so,3,Negative,0.51
their,3,Negative,0.51
building,3,Negative,0.5
very,3,Negative,0.51
parents,3,Negative,0.83
not,3,Negative,0.51
education,3,Negative,0.75
n't,3,Negative,0.51
effective,3,Positive,0.75
having,3,Negative,0.51
can,3,Negative,0.51
more,3,Negative,0.51
engagement,3,Negative,0.51
what,3,Negative,0.51
levels,3,Negative,0.51
been,2,Negative,0.51
any,2,Negative,0.51
really,2,Negative,0.62
some,2,Negative,0.51
positive,2,Positive,0.69
struggled,2,Negative,0.51
direct,2,Positive,0.75
work,2,Negative,0.57
get,2,Negative,0.56
are,2,Negative,0.51
time,2,Negative,0.54
organization,2,Negative,0.75
-,2,Negative,0.51
only,2,Negative,0.51
covid,2,Negative,0.51
loss,2,Negative,0.5
herself,2,Negative,0.51
he,2,Negative,0.51
do,2,Negative,0.51
lack,2,Positive,0.79
engaged,2,Negative,0.51
hard,2,Negative,0.74
you,2,Negative,0.51
until,2,Negative,0.51
managing,2,Negative,0.51
an,2,Negative,0.51
middle,2,Negative,0.81
school,2,Negative,0.74
were,2,Negative,0.51
confidence,2,Negative,0.5
new,2,Positive,0.69
most,2,Negative,0.51
special,2,Positive,0.61
within,2,Positive,0.58
discipline,2,Negative,0.75
word,2,Negative,0.52
done,2,Positive,0.94
assessment,2,Positive,0.75
structures,2,Negative,0.51
unlike,1,Negative,0.75
we,1,Negative,0.51
seen,1,Negative,0.51
before,1,Negative,0.51
coming,1,Negative,0.51
up,1,Negative,0.51
good,1,Positive,0.66
help,1,Negative,0.61
these,1,Negative,0.51
always,1,Positive,0.52
communicate,1,Negative,0.75
consistent,1,Negative,0.51
expectations,1,Negative,0.51
balance,1,Positive,0.75
modeling,1,Negative,0.51
collaborative,1,Negative,0.51
independent,1,Positive,0.75
practice,1,Negative,0.51
ensure,1,Positive,0.75
also,1,Positive,0.63
accountable,1,Negative,0.51
own,1,Negative,0.51
(,1,Negative,0.51
minimal,1,Negative,0.51
issue,1,Negative,0.53
's,1,Negative,0.51
thing,1,Positive,0.56
),1,Negative,0.51
reaching,1,Negative,0.51
lost,1,Negative,0.51
much,1,Negative,0.63
due,1,Negative,0.77
creating,1,Negative,0.51
environment,1,Positive,0.75
staff,1,Negative,0.5
tends,1,Negative,0.51
quiet,1,Negative,0.88
stays,1,Negative,0.51
mostly,1,Positive,0.75
open,1,Negative,0.56
communication,1,Negative,0.51
lacked,1,Negative,0.51
engage,1,Positive,0.87
effectively,1,Negative,0.51
adjust,1,Negative,0.51
individual,1,Positive,0.83
decisions,1,Negative,0.51
disrespectful,1,Negative,0.51
parent,1,Negative,0.61
value,1,Negative,0.5
said,1,Negative,0.51
took,1,Positive,0.83
one,1,Negative,0.52
over,1,Negative,0.51
conversations,1,Positive,0.75
regards,1,Negative,0.51
progress,1,Negative,0.5
evolving,1,Negative,0.51
covid-19,1,Negative,0.51
procedures,1,Negative,0.51
significant,1,Negative,0.51
set,1,Negative,0.63
specific,1,Negative,0.75
goals,1,Negative,0.51
keeping,1,Negative,0.51
entire,1,Negative,0.75
period,1,Negative,0.83
refuse,1,Positive,0.75
extremely,1,Negative,0.7
transferred,1,Negative,0.51
worked,1,Negative,0.51
develop,1,Negative,0.5
mood,1,Positive,0.7
disorders,1,Negative,0.51
handle,1,Negative,0.75
responses,1,Negative,0.51
personalities,1,Negative,0.51
i,1,Negative,0.51
think,1,Negative,0.56
learn,1,Positive,0.55
about,1,Negative,0.51
experience,1,Positive,0.87
first,1,Positive,0.68
rough,1,Positive,0.9
could,1,Negative,0.69
used,1,Negative,0.63
area,1,Negative,0.5
solid,1,Positive,0.75
training,1,Positive,0.62
on,1,Negative,0.51
instructionally,1,Negative,0.51
wanted,1,Positive,0.83
provide,1,Negative,0.5
fun,1,Positive,0.62
friend,1,Positive,0.58
incredibly,1,Positive,0.75
tell,1,Negative,0.52
why,1,Negative,0.51
did,1,Negative,0.51
utilize,1,Negative,0.51
modeled,1,Negative,0.51
by,1,Negative,0.51
excellent,1,Positive,0.9
year,1,Negative,0.58
long,1,Negative,0.59
practicum,1,Negative,0.51
groups,1,Negative,0.51
than,1,Negative,0.51
25,1,Negative,0.63
successfully,1,Negative,0.51
keep,1,Positive,0.65
them,1,Negative,0.51
they,1,Negative,0.51
no,1,Negative,0.51
choice,1,Positive,0.68
take,1,Negative,0.58
guidelines,1,Negative,0.51
learners,1,Negative,0.51
make,1,Positive,0.55
suggestions,1,Negative,0.51
try,1,Negative,0.54
things,1,Negative,0.83
differentiated,1,Negative,0.51
critical,1,Negative,0.75
thinking,1,Positive,0.83
opportunities,1,Positive,0.96
connecting,1,Negative,0.51
broad,1,Negative,0.51
range,1,Negative,0.5
k-12,1,Negative,0.51
setting,1,Negative,0.51
challenge,1,Negative,0.51
faced,1,Negative,0.51
supporting,1,Negative,0.51
academically,1,Negative,0.51
low,1,Negative,0.5
qualify,1,Negative,0.51
services,1,Negative,0.51
number,1,Positive,0.7
charge,1,Negative,0.58
planning,1,Positive,0.83
variety,1,Positive,0.75
academic,1,Positive,0.75
outside,1,Negative,0.68
comfort,1,Negative,0.75
zone,1,Negative,0.51
share,1,Positive,0.82
honest,1,Positive,0.83
opinions,1,Negative,0.51
team,1,Positive,0.63
getting,1,Positive,0.56
familiar,1,Positive,0.83
curriculum,1,Negative,0.51
seems,1,Negative,0.5
clear,1,Positive,0.62
understanding,1,Negative,0.51
comparison,1,Negative,0.75
demonstrates,1,Negative,0.51
understands,1,Negative,0.51
disciplinary,1,Negative,0.51
issues,1,Negative,0.51
content,1,Negative,0.5
does,1,Negative,0.51
manual,1,Negative,0.5
lot,1,Positive,0.82
behavioral,1,Negative,0.51
person,1,Positive,0.53
great,1,Positive,0.89
nothing,1,Negative,0.66
prepared,1,Negative,0.75
advance,1,Negative,0.83
real,1,Positive,0.54
implementing,1,Negative,0.51
proactive,1,Positive,0.75
prevent,1,Negative,0.51
would,1,Positive,0.56
listen,1,Negative,0.5
large,1,Positive,0.83
sizes,1,Negative,0.51
diversity,1,Negative,0.51
ability,1,Negative,0.51
exceptional,1,Negative,0.51
job,1,Positive,0.71
transitioning,1,Negative,0.51
into,1,Negative,0.51
as,1,Negative,0.51
our,1,Negative,0.51
band,1,Positive,0.83
instructor,1,Negative,0.51
writing,1,Negative,0.75
assessments,1,Negative,0.51
standards-based,1,Negative,0.51
coteaching-,1,Negative,0.51
use,1,Negative,0.5
being,1,Negative,0.51
unmotivated,1,Negative,0.51
participate,1,Positive,0.75
cooperative,1,Negative,0.51
biggest,1,Negative,0.51
areas,1,Negative,0.51
concern,1,Negative,0.83
